Goth.	de Bello Gothico
Pers.	de Bello Persico
Vand.	de Bello Vandalico
Calend.	Calendarium,
*Fr.	Fragmenta
Geog.	Geographia
Harm.	Harmonica,
*Inscr.Can.	Inscriptio Canobi
*Planisph.	Planisphaerium
Tetr.	Tetrabiblos,
Inst.	Institutio Oratoria
Ren.Ves.	de renum et vesicae affectionibus
Sat.Gon.	de satyriasmo et gonorrhoea
Syn.Puls.	synopsis de pulsibus
Sect.Con.	Sectio Coni
Sect.Cyl.	Sectio Cylindri
M.	adversus Mathematicos
Aj.	Ajax
Ant.	Antigone
El.	Electra
Eleg.	Elegiae,
Fr.	Fragmenta,
OC	Oedipus Coloneus
OT	Oedipus Tyrannus
Ph.	Philoctetes
Tr.	Trachiniae
Beren.	Coma Berenices
Ep.	Epigrammata
CP	de Causis Plantarum
Char.	Characteres,
Fr.	Fragmenta
HP	Historia Plantarum
Ign.	de Igne
Lap.	de Lapidibus
Lass.	de Lassitudine
Metaph.	Metaphysica,
Od.	de Odoribus
Sens.	de Sensu
Sign.	de Signis Tempestatum
Sud.	de Sudore
Vent.	de Ventis
Vert.	de Vertigine
Fr.	Fragmenta
Pers.	Persae
Am.	Amos
Ba.	Baruch
Ca.	Canticles
Da.	Daniel
De.	Deuteronomy
Ec.	Ecclesiastes
Ep.Je.	Epistle of Jeremiah
Es.	Esther
Ex.	Exodus
Ez.	Ezekiel
Ge.	Genesis
Hb.	Habakkuk
Hg.	Haggai
Ho.	Hosea
Is.	Isaiah
Jb.	Job
Jd.	Judges
Je	Jeremiah
Jl.	Joel
Jn.	Jonah
Jo.	Joshua
Ju.	Judith
La.	Lamentations
Le.	Leviticus
Ma.	Malachi
Mi.	Micah
Na.	Nahum
Ne.	Nehemian
Nu.	Numbers
Ob.	Obadiah
Pr.	Proverbs
Prec.Man.	Prayer of Manasses
Ps.	Psalms
Ru.	Ruth
Si.	Ecclesiasticus (Siracides)
Su.	Susanna
To.	Tobit
Wi.	Wisdom of Solomon
Za.	Zechariah
Ze.	Zephaniah
Ages.	Agesilaus
An.	Anabasis
Ap.	Apologia Socratis
Ath.	Respublica Atheniensium
Cyn.	Cynegeticus
Cyr.	Cyropaedia
Ep.	Epistulae,
Eq.	de Equitan�i ratione
Eq.Mag.	de Equitum magistro
HG	Historia Graeca (Hellenica)
Hier.	Hiero
Lac.	Respublica Lacedaemoniorum
Mem.	Memorabilia
Oec.	Oeconomicus
Smp.	Symposium
Vect.	de Vectigalibus
